DATE,Kospi200,SP500,Nikkei225,SAMSUNGE,SHINHANF
2009. 04,176,872.81,8828.26,592000,31700
2009. 05,178.7,919.14,9522.5,558000,31450
2009. 06,178.99,919.32,9958.44,592000,32250
2009. 07,202.96,987.48,10356.83,724000,41600
2009. 08,207.44,1020.62,10492.53,771000,41000
2009. 09,219.75,1057.08,10133.23,815000,47000
2009. 10,206.81,1036.19,10034.74,723000,46150
2009. 11,204.75,1095.63,9345.55,720000,45550
2009. 12,221.86,1115.1,10546.44,799000,43200
2010. 01,210.34,1073.87,10198.04,784000,41000
2010. 02,208.36,1104.49,10126.03,744000,41450
2010. 03,221.58,1169.43,11089.94,818000,44450
2010. 04,227.95,1186.69,11057.4,849000,47550
2010. 05,214.34,1089.41,9768.7,776000,43400
2010. 06,220.85,1030.71,9382.64,774000,45650
2010. 07,229.25,1101.6,9537.3,810000,48500
2010. 08,226.81,1049.33,8824.06,756000,45900
2010. 09,242.95,1141.2,9369.35,777000,43650
2010. 10,242.98,1183.26,9202.45,745000,43550
2010. 11,249.64,1180.55,9937.04,826000,44700
2010. 12,271.19,1257.64,10228.92,949000,52900
2011. 01,273.12,1286.12,10237.92,981000,49600
2011. 02,256.36,1327.22,10624.09,923000,47100
2011. 03,278.87,1325.83,9755.1,932000,49850
2011. 04,290.39,1363.61,9849.74,893000,52500
2011. 05,282.76,1345.2,9693.73,902000,48550
2011. 06,275.17,1320.64,9816.09,826000,50900
2011. 07,277.11,1292.28,9833.03,844000,50500
2011. 08,242.16,1218.89,8955.2,744000,44900
2011. 09,230.41,1131.42,8700.29,840000,42000
2011. 10,249.88,1253.3,8988.39,968000,44650
2011. 11,241.19,1246.96,8434.61,1004000,40950
2011. 12,238.08,1257.6,8455.35,1058000,39750
2012. 01,256.9,1312.41,8802.51,1107000,44750
2012. 02,267.13,1365.68,9723.24,1206000,43300
2012. 03,266.58,1408.47,10083.56,1275000,43750
2012. 04,264.35,1397.91,9520.89,1390000,39500
2012. 05,244.05,1310.33,8542.73,1211000,37950
2012. 06,244.9,1362.16,9006.78,1201000,39700
2012. 07,250.08,1379.32,8695.06,1309000,36200
2012. 08,250.56,1406.58,8839.91,1233000,35300
2012. 09,262.49,1440.67,8870.16,1346000,37950
2012. 10,250.18,1412.16,8928.29,1310000,37450
2012. 11,254.25,1416.18,9446.01,1406000,34650
2012. 12,263.92,1426.19,10395.18,1522000,38850
2013. 01,258.07,1498.11,11138.66,1448000,40950
2013. 02,268.01,1514.68,11559.36,1544000,42650
2013. 03,263.39,1569.19,12397.91,1527000,40400
2013. 04,255.72,1597.57,13860.86,1520000,38100
2013. 05,261.47,1630.74,13774.54,1538000,40550
2013. 06,242.27,1606.28,13677.32,1342000,37600
2013. 07,247.99,1685.73,13668.32,1280000,41000
2013. 08,251.74,1632.97,13388.86,1368000,40900
2013. 09,260.91,1681.55,14455.8,1367000,43650
2013. 10,266.91,1756.54,14327.94,1465000,46350
2013. 11,269.57,1805.81,15661.87,1494000,44500
2013. 12,264.24,1848.36,16291.31,1372000,47300
2014. 01,252.89,1782.59,14914.53,1280000,45650
2014. 02,258.41,1859.45,14841.07,1349000,44450
2014. 03,258.11,1872.34,14411.27,1343000,47000
