date,MSFT,GE,GM,IBM,DIS,XOM,MKT,RKFREE,MSFT.r,GE.r,GM.r,IBM.r,DIS.r,XOM.r,MKT.r,MSFT.rr,GE.rr,GM.rr,IBM.rr,DIS.rr,XOM.rr,MKT.rr
1995-01-14,-0.02863,0.0098,-0.07715,-0.01871,0.10761,0.02881,0.0204,0.0042,-0.03283,0.04263,-0.08135,-0.02291,0.10341,0.02461,0.05323,-3.283,4.263,-8.135,-2.291,10.341,2.461,5.323
1995-02-14,0.06105,0.06311,0.10161,0.04679,0.04914,0.034,0.03961,0.004,0.05705,0.00606,0.09761,0.04279,0.04514,0.03,-0.01744,5.705,0.606,9.761,4.279,4.514,3,-1.744
1995-03-14,0.12897,-0.00621,0.03226,0.09136,0.00234,0.04305,0.02704,0.0046,0.12437,-0.13058,0.02766,0.08676,-0.00226,0.03845,-0.09733,12.437,-13.058,2.766,8.676,-0.226,3.845,-9.733
1995-04-14,0.14938,0.03704,0.02557,0.15221,0.03673,0.04315,0.02505,0.0044,0.14498,-0.10794,0.02117,0.14781,0.03233,0.03875,-0.11993,14.498,-10.794,2.117,14.781,3.233,3.875,-11.993
1995-05-14,0.03593,0.03571,0.07036,-0.01453,0.00226,0.03777,0.03401,0.0054,0.03053,0.00518,0.06496,-0.01993,-0.00314,0.03237,0.00348,3.053,0.518,6.496,-1.993,-0.314,3.237,0.348
1995-06-14,0.06716,-0.02095,-0.02344,0.03226,0,-0.01051,0.03117,0.0047,0.06246,-0.08341,-0.02814,0.02756,-0.0047,-0.01521,-0.03129,6.246,-8.341,-2.814,2.756,-0.47,-1.521,-3.129
1995-07-14,0.00138,0.04656,0.04,0.13411,0.05793,0.02655,0.04078,0.0045,-0.00312,0.04968,0.0355,0.12961,0.05343,0.02205,0.0439,-0.312,4.968,3.55,12.961,5.343,2.205,4.39
1995-08-14,0.0221,-0.00212,-0.02718,-0.04822,-0.04051,-0.04138,0.00931,0.0047,0.0174,-0.01952,-0.03188,-0.05292,-0.04521,-0.04608,-0.00809,1.74,-1.952,-3.188,-5.292,-4.521,-4.608,-0.809
1995-09-14,-0.02162,0.08977,-0.00531,-0.08585,0.02,0.05091,0.03636,0.0043,-0.02592,0.11569,-0.00961,-0.09015,0.0157,0.04661,0.06228,-2.592,11.569,-0.961,-9.015,1.57,4.661,6.228
1995-10-14,0.10497,-0.00784,-0.06667,0.0291,0.00593,0.05709,-0.01131,0.0047,0.10027,-0.10811,-0.07137,0.0244,0.00123,0.05239,-0.11158,10.027,-10.811,-7.137,2.44,0.123,5.239,-11.158
1995-11-14,-0.12875,0.06126,0.11543,-0.00386,0.04338,0.02291,0.04271,0.0042,-0.13295,0.19421,0.11123,-0.00806,0.03918,0.01871,0.17566,-13.295,19.421,11.123,-0.806,3.918,1.871,17.566
1995-12-14,0.00717,0.07948,0.09021,-0.05433,-0.01929,0.04847,0.01519,0.0049,0.00227,0.07721,0.08531,-0.05923,-0.02419,0.04357,0.01292,0.227,7.721,8.531,-5.923,-2.419,4.357,1.292
1996-01-14,0.05413,0.06597,-0.00473,0.18741,0.0913,-0.01079,0.02815,0.0043,0.04983,0.01614,-0.00903,0.18311,0.087,-0.01509,-0.02168,4.983,1.614,-0.903,18.311,8.7,-1.509,-2.168
1996-02-14,0.06689,-0.01629,-0.01853,0.13249,0.01946,0,0.0163,0.0039,0.06299,-0.07928,-0.02243,0.12859,0.01556,-0.0039,-0.04669,6.299,-7.928,-2.243,12.859,1.556,-0.39,-4.669
1996-03-14,0.04497,0.03755,0.03902,-0.09276,-0.02481,0.02516,0.01093,0.0039,0.04107,-0.00352,0.03512,-0.09666,-0.02871,0.02126,-0.03014,4.107,-0.352,3.512,-9.666,-2.871,2.126,-3.014
1996-04-14,0.09818,-0.00803,0.01878,-0.03146,-0.02763,0.04294,0.02552,0.0046,0.09358,-0.10161,0.01418,-0.03606,-0.03223,0.03834,-0.06806,9.358,-10.161,1.418,-3.606,-3.223,3.834,-6.806
1996-05-14,0.04857,0.0712,0.0235,-0.00603,-0.02016,0.00635,0.0268,0.0042,0.04437,0.02683,0.0193,-0.01023,-0.02436,0.00215,-0.01757,4.437,2.683,1.93,-1.023,-2.436,0.215,-1.757
1996-06-14,0.01158,0.04834,-0.04989,-0.0726,0.03498,0.02507,-0.00828,0.004,0.00758,0.04076,-0.05389,-0.0766,0.03098,0.02107,-0.01586,0.758,4.076,-5.389,-7.66,3.098,2.107,-1.586
1996-07-14,-0.01873,-0.04657,-0.06921,0.08586,-0.11356,-0.05324,-0.05381,0.0045,-0.02323,-0.02334,-0.07371,0.08136,-0.11806,-0.05774,-0.03058,-2.323,-2.334,-7.371,8.136,-11.806,-5.774,-3.058
1996-08-14,0.03924,0.01064,0.02615,0.06721,0.02472,0.00049,0.03247,0.0041,0.03514,-0.0245,0.02205,0.06311,0.02062,-0.00361,-0.00267,3.514,-2.45,2.205,6.311,2.062,-0.361,-0.267
1996-09-14,0.07653,0.10027,-0.03275,0.08852,0.10965,0.02147,0.05299,0.0044,0.07213,0.02814,-0.03715,0.08412,0.10525,0.01707,-0.01914,7.213,2.814,-3.715,8.412,10.525,1.707,-1.914
1996-10-14,0.04076,0.06319,0.11719,0.03614,0.04324,0.06456,0.01363,0.0042,0.03656,0.02663,0.11299,0.03194,0.03904,0.06036,-0.02293,3.656,2.663,11.299,3.194,3.904,6.036,-2.293
1996-11-14,0.14299,0.07494,0.08205,0.23818,0.12144,0.07379,0.06552,0.0041,0.13889,-0.06395,0.07795,0.23408,0.11734,0.06969,-0.07337,13.889,-6.395,7.795,23.408,11.734,6.969,-7.337
1996-12-14,0.05339,-0.04428,-0.03254,-0.04941,-0.05584,0.03841,-0.01136,0.0046,0.04879,-0.09307,-0.03714,-0.05401,-0.06044,0.03381,-0.06015,4.879,-9.307,-3.714,-5.401,-6.044,3.381,-6.015
1997-01-14,0.23449,0.04678,0.0583,0.03548,0.04638,0.0574,0.05345,0.0045,0.22999,-0.18321,0.0538,0.03098,0.04188,0.0529,-0.17654,22.999,-18.321,5.38,3.098,4.188,5.29,-17.654
1997-02-14,-0.04412,-0.00604,-0.01059,-0.08143,0.01887,-0.02495,-0.00116,0.0039,-0.04802,0.04198,-0.01449,-0.08533,0.01497,-0.02885,0.04686,-4.802,4.198,-1.449,-8.533,1.497,-2.885,4.686
1997-03-14,-0.05962,-0.03018,-0.0432,-0.04522,-0.01852,0.07481,-0.04481,0.0043,-0.06392,0.03374,-0.0475,-0.04952,-0.02282,0.07051,0.01911,-6.392,3.374,-4.75,-4.952,-2.282,7.051,1.911
1997-04-14,0.32515,0.11839,0.04515,0.1694,0.1236,0.05104,0.0423,0.0043,0.32085,-0.20246,0.04085,0.1651,0.1193,0.04674,-0.27855,32.085,-20.246,4.085,16.51,11.93,4.674,-27.855
1997-05-14,0.02058,0.08784,0,0.08037,0.00153,0.0536,0.07163,0.0049,0.01568,0.07216,-0.0049,0.07547,-0.00337,0.0487,0.05595,1.568,7.216,-0.49,7.547,-0.337,4.87,5.595
1997-06-14,0.01915,0.0766,-0.02832,0.04335,-0.01985,0.03376,0.04413,0.0037,0.01545,0.06115,-0.03202,0.03965,-0.02355,0.03006,0.02868,1.545,6.115,-3.202,3.965,-2.355,3.006,2.868
1997-07-14,0.11968,0.08285,0.10987,0.17175,0.00866,0.04898,0.07652,0.0043,0.11538,-0.03253,0.10557,0.16745,0.00436,0.04468,-0.03886,11.538,-3.253,10.557,16.745,0.436,4.468,-3.886
1997-08-14,-0.06581,-0.10784,0.02222,-0.03948,-0.0495,-0.04128,-0.03624,0.0041,-0.06991,-0.03793,0.01812,-0.04358,-0.0536,-0.04538,0.03367,-6.991,-3.793,1.812,-4.358,-5.36,-4.538,3.367
1997-09-14,0.00095,0.09207,0.06673,0.04562,0.04963,0.04699,0.05846,0.0044,-0.00345,0.09552,0.06233,0.04122,0.04523,0.04259,0.06191,-0.345,9.552,6.233,4.122,4.523,4.259,6.191
1997-10-14,-0.01748,-0.05051,-0.04108,-0.07075,0.02335,-0.04098,-0.03448,0.0042,-0.02168,-0.02883,-0.04528,-0.07495,0.01915,-0.04518,-0.0128,-2.168,-2.883,-4.528,-7.495,1.915,-4.518,-1.28
1997-11-14,0.08846,0.14313,-0.04284,0.11371,0.1525,-0.00045,0.0305,0.0039,0.08456,0.05857,-0.04674,0.10981,0.1486,-0.00435,-0.05406,8.456,5.857,-4.674,10.981,14.86,-0.435,-5.406
1997-12-14,-0.08657,-0.00271,0.05804,-0.04452,0.04279,0.00307,0.01775,0.0048,-0.09137,0.08866,0.05324,-0.04932,0.03799,-0.00173,0.10912,-9.137,8.866,5.324,-4.932,3.799,-0.173,10.912
1998-01-14,0.15426,0.05622,-0.0463,-0.05615,0.08088,-0.03064,0.00453,0.0043,0.14996,-0.09374,-0.0506,-0.06045,0.07658,-0.03494,-0.14543,14.996,-9.374,-5.06,-6.045,7.658,-3.494,-14.543
1998-02-14,0.13615,0.00323,0.19849,0.05962,0.04737,0.08173,0.07322,0.0039,0.13225,-0.12902,0.19459,0.05572,0.04347,0.07783,-0.05903,13.225,-12.902,19.459,5.572,4.347,7.783,-5.903
1998-03-14,0.05605,0.11238,-0.01723,-0.00539,-0.04634,0.06078,0.05132,0.0039,0.05215,0.06023,-0.02113,-0.00929,-0.05024,0.05688,-0.00083,5.215,6.023,-2.113,-0.929,-5.024,5.688,-0.083
1998-04-14,0.00698,-0.0116,-0.00554,0.11552,0.16834,0.08041,0.01088,0.0043,0.00268,-0.01428,-0.00984,0.11122,0.16404,0.07611,0.0082,0.268,-1.428,-0.984,11.122,16.404,7.611,0.82
