id_hh,전력소비량,주택면적,(더미)주택종류,(더미)준공연도,외벽수,거주층수,방수,(더미)전월년 동월 전기요금 확인,가구원수,(더미)월평균소득,도시여부
HH13110253,3364,125.4,3,4,2,9,4,2,5,3,1
HH14110055,4189,158.4,2,3,5,1,3,,4,2,1
HH13110254,5313,264,1,2,6,2,5,2,5,3,1
HH14110057,3333,62.7,1,3,5,1,3,1,1,2,1
HH17110001,3395,132,1,6,4,1,3,1,3,3,1
HH18110236,4340,99,2,5,4,3,3,,3,2,1
HH18110122,3808,112.2,1,3,5,1,3,2,4,4,1
HH18110119,2429,99,1,3,4,1,3,2,2,2,1
HH13110255,3394,99,2,4,5,2,2,2,4,4,1
HH11110023,3907,122.1,1,2,6,1,4,1,5,1,1
HH13110257,3310,102.3,1,2,5,1,2,1,2,1,1
HH18110114,5833,112.2,3,5,3,19,3,3,4,4,1
HH13110233,6172,112.2,3,4,4,1,3,1,6,3,1
HH11110021,4663,125.4,1,2,5,1,4,,4,3,1
HH11110022,3568,85.8,1,3,5,1,3,,2,1,1
HH13110234,3439,82.5,3,4,3,17,3,1,4,2,1
HH17110004,1640,66,2,4,4,3,2,1,2,4,1
HH18110063,3743,99,2,4,3,3,3,1,4,4,1
HH18110005,4681,99,1,4,5,1,3,1,4,3,1
HH18110008,2747,82.5,1,4,4,1,3,3,2,2,1
HH18110015,2987,89.1,1,4,4,1,3,,2,1,1
HH18110208,2877,59.4,2,6,3,2,3,2,2,2,1
HH18110040,3670,69.3,1,4,5,2,3,,4,3,1
HH18110045,3394,99,1,5,5,1,3,1,4,3,1
HH18110200,3209,82.5,2,5,5,4,3,,4,3,1
HH18110052,3003,66,1,5,4,2,2,,5,3,1
HH18110036,1649,66,2,5,4,0,2,1,4,3,1
HH18110056,2980,49.5,1,4,4,2,3,1,3,2,1
HH18110081,3603,66,1,4,4,2,2,1,3,2,1
HH18110202,2048,79.2,3,5,2,4,2,1,2,3,1
HH18110124,3186,105.6,1,4,5,1,3,1,3,4,1
HH18110201,2412,42.9,2,4,4,3,2,1,3,3,1
HH18110018,4814,82.5,3,6,3,1,3,1,5,3,1
HH18110118,3221,82.5,2,4,4,0,3,2,4,4,1
HH18110120,3361,132,1,5,5,2,4,,4,3,1
HH18110121,3136,132,2,3,4,5,3,1,4,4,1
HH18110126,3469,69.3,2,4,5,0,2,1,4,3,1
HH18110128,3003,66,2,5,3,4,2,1,4,4,1
HH18110130,2722,122.1,2,3,3,2,3,2,4,3,1
HH18110003,4523,92.4,1,2,6,1,4,1,2,3,1
HH18110006,3275,46.2,1,4,5,2,2,2,4,2,1
HH18110009,3297,59.4,1,4,5,2,3,1,6,2,1
HH18110012,2257,52.8,1,2,4,1,2,2,4,3,1
HH18110023,1967,132,1,3,4,0,2,4,2,2,1
HH18110026,4775,92.4,2,4,4,3,4,3,4,3,1
HH18110030,4323,105.6,2,6,3,4,3,1,3,2,1
HH18110034,3320,75.9,3,6,5,6,3,2,3,3,1
HH18110039,3770,99,2,3,5,3,3,1,4,3,1
HH18110116,3267,108.9,2,5,4,3,3,1,4,3,1
HH13110105,3242,95.7,3,6,3,14,3,,5,3,1
HH13110107,3213,49.5,3,5,4,25,2,,4,4,1
HH13110108,1939,108.9,3,4,3,3,3,3,4,2,1
HH13110110,4040,82.5,3,5,2,10,3,1,4,3,1
HH13110118,4068,108.9,3,5,3,14,3,1,4,3,1
HH17110013,3966,105.6,3,6,2,6,3,2,4,2,1
HH17110014,3394,99,2,5,3,4,3,1,2,3,1
HH17110015,4866,108.9,3,5,3,1,3,1,6,3,1
HH17110018,3669,62.7,2,3,4,3,3,2,4,2,1
HH17110020,3991,138.6,3,5,3,11,4,1,4,4,1
HH17110023,4970,112.2,3,5,3,12,3,1,3,3,1
HH17110025,3630,138.6,3,4,2,10,4,1,1,1,1
HH18110168,3699,108.9,3,5,3,6,3,2,4,4,1
HH18110172,3387,39.6,1,5,4,1,1,1,2,2,1
HH18110174,3003,66,3,6,3,7,2,1,1,1,1
HH18110175,4491,75.9,3,5,2,8,3,1,2,1,1
HH18110176,4982,145.2,3,5,3,7,4,1,2,4,1
